Data,Serasa_Inadimplentes_milhoes,Serasa_Dividas_Negativadas_milhoes,Serasa_Dividas_Negativadas_R_bilhoes,Serasa_Dividas_Media_por_CPF,Serasa_Divida_Media_R,Serasa_Ticket_Medio_R,Serasa_Populacao_Adulta_pct,Serasa_Genero_F_milhoes,Serasa_Genero_M_milhoes,Serasa_Ate_25_milhoes,Serasa_26_40_milhoes,Serasa_41_60_milhoes,Serasa_Acima_60_milhoes
2024-05-01,72.535353,273.245644,394.977376064462,3.767068507959147,5445.3085251334205,1445.5029192138265,44.93498960497402,36.508624,36.026729,8.832891,25.135627,25.121992,13.444843
2024-06-01,72.501132,273.667227,397.47266574121,3.774661435631102,5482.295996995053,1452.3940995726534,44.87902064636084,36.491509,36.009623,8.852353,25.116198,25.071577,13.461004
2024-07-01,72.664146,271.630064,390.458054451211,3.738158073171327,5373.462373743593,1437.4625868041287,44.94510089178833,36.609779,36.054367,8.877089,25.116293,25.144493,13.526271
2024-08-01,72.46254,271.800452,390.58569383803,3.750909808019426,5390.173927632539,1437.0310680647065,44.78801791059872,36.500001,35.962539,8.82357,25.025054,25.056461,13.557455
2024-09-01,72.641926,272.901366,395.113920894532,3.7568024559260724,5439.199407991082,1447.8268346026966,44.86644784888689,36.583356,36.05857,8.810024,25.068086,25.124337,13.639479
2024-10-01,73.10399,276.085829,402.388499228943,3.776617787893657,5504.33019085474,1457.4761069281212,45.11920228370444,36.821365,36.282625,8.85995,25.20138,25.274537,13.768123
2024-11-01,73.788794,274.539659,410.140444698774,3.720614528542098,5558.3025885851175,1493.9205730519757,45.508938184184785,37.176814,36.61198,8.899163,25.321944,25.462428,14.105259
2024-12-01,73.512252,275.681592,404.074031364152,3.750144833000083,5496.689604396176,1465.7272849909834,45.30560293824243,37.039588,36.472664,8.875154,25.251995,25.428122,13.956981
2025-01-01,74.602914,281.255996,419.04470610023,3.7700403498983968,5617.001851968275,1489.904969351231,45.9445317445407,37.556222,37.046692,9.05212,25.726631,25.758435,14.065728
2025-02-01,75.003387,286.111662,437.831537490825,3.814649890410949,5837.490212153019,1530.2820389433302,46.15775859282648,37.724542,37.278845,9.06994,25.926617,25.910444,14.096386
2025-03-01,75.769531,287.591462,438.982953193023,3.795608316488061,5793.660689189471,1526.4116331555872,46.59552289217403,38.10851,37.661021,9.142619,26.169799,26.196627,14.260486
