Data_Trimestre,Selic_Meta,Taxa_Media_Juros_Credito,Inadimplencia_PF_Total,Inadimplencia_PF_Total_modalidades,Inadimplencia_Recursos_Livres_Total,Inadimplencia_Cheque_Especial,Inadimplencia_Credito_Pessoal_Nao_Consignado,Inadimplencia_Composicao_Dividas,Inadimplencia_Consignado_Privado,Inadimplencia_Nao_Consignado_Com_Garantia,Inadimplencia_Nao_Consignado_Sem_Garantia,Serasa_Inadimplentes_milhoes,Serasa_Dividas_Negativadas_milhoes,Serasa_Dividas_Negativadas_R_bilhoes,Serasa_Dividas_Media_por_CPF,Serasa_Divida_Media_R,Serasa_Ticket_Medio_R,Serasa_Populacao_Adulta_pct,Serasa_Genero_F_milhoes,Serasa_Genero_M_milhoes,Serasa_Ate_25_milhoes,Serasa_26_40_milhoes,Serasa_41_60_milhoes,Serasa_Acima_60_milhoes,PNAD_Taxa_Desocupacao_pct,PNAD_Rendimento_Medio_R,Itau_NPL90_Total_pct,Itau_NPL90_Brasil_pct,Itau_NPL90_PF_Brasil_pct,Itau_NPL90_MPME_Brasil_pct,Itau_NPL90_Grandes_Empresas_Brasil_pct,Itau_Carteira_PF_Total_R_milhoes,Itau_Carteira_Cartao_Credito_R_milhoes,Itau_Carteira_Credito_Pessoal_R_milhoes,Itau_Carteira_Credito_Consignado_R_milhoes,Itau_Carteira_Veiculos_R_milhoes,Itau_Carteira_Credito_Imobiliario_R_milhoes,Itau_Carteira_MPME_R_milhoes,Itau_Cobertura_Estagio3_PF_Brasil_pct,Itau_Cobertura_Estagio3_PJ_Brasil_pct,Itau_Cobertura_Estagio3_Brasil_pct,Itau_Cobertura_Estagio3_America_Latina_pct,Itau_Cobertura_Estagio3_Total_pct,Itau_NPL_Creation_Total_R_milhoes,Itau_NPL_Creation_Varejo_Brasil_R_milhoes,Itau_NPL_Creation_Atacado_Brasil_R_milhoes,Itau_NPL_Creation_America_Latina_R_milhoes
2022-04-01,12.456989247311828,49.75666666666667,3.5866666666666664,3.5866666666666664,5.273333333333333,11.393333333333333,6.553333333333333,14.530000000000001,4.826666666666667,,,66.510371,228.950719,277.109587086436,3.4422525752823954,4166.225129867717,1210.2861059058887,41.95609169521276,33.33807866666667,33.17229233333333,8.551168666666667,23.644982666666667,22.835120333333332,11.479099333333332,9.3,3136,,,,,,,,,,,,,,,,,,,,,
2022-07-01,13.567204301075268,52.77,3.763333333333333,3.763333333333333,5.693333333333333,12.293333333333333,7.513333333333334,14.926666666666668,5.09,,,67.99885966666666,238.11373866666668,290.95215616114933,3.5016504326492504,4278.644723189364,1221.885802744819,42.803134183115354,34.111084999999996,33.887774666666665,8.828415,24.179325333333335,23.252372666666666,11.738746666666668,8.7,3252,,,,,,,,,,,,,,,,,,,,,
2022-10-01,13.75,55.43333333333334,3.9166666666666665,3.9166666666666665,5.95,12.91,8.03,15.433333333333334,4.4366666666666665,,,69.44023566666667,246.01477,308.179514961866,3.5428068362173475,4437.894401477787,1252.6127555269068,43.612408100173404,34.81978133333333,34.620454333333335,8.957729333333333,24.53378466666667,23.755537666666665,12.193184,7.9,3310,,,,,,,,,,,,,,,,,,,,,
2023-01-01,13.75,56.57333333333333,4.126666666666666,4.126666666666666,6.22,12.6,8.186666666666666,16.746666666666666,3.8266666666666667,,,70.44243933333334,255.36345866666665,328.17152024761134,3.625050511954722,4658.561432214538,1285.0675884673153,44.14248432620859,35.38858233333333,35.053857,9.040202666666667,24.814224666666668,24.109594,12.478418,8.8,3330,,,,,,,,,,,,,,,,,,,,,
2023-04-01,13.75,58.54666666666667,4.286666666666666,4.286666666666666,6.413333333333333,12.9,8.113333333333333,18.163333333333334,4,,,71.59889466666667,262.811596,344.1994743382583,3.6705935955818507,4807.324105524551,1309.6742464829556,44.76649122344998,36.030773333333336,35.56812133333333,9.134288,25.185258666666666,24.562630333333335,12.716717666666666,8,3329,,,,,,,,,,,,,,,,,,,,,
2023-07-01,13.371863799283155,56.516666666666666,4.113333333333333,4.113333333333333,6.193333333333333,12.476666666666667,7.576666666666666,17.633333333333333,4.52,,,71.66008533333333,268.210664,357.831401947975,3.742765742856085,4993.307620054969,1334.0610329037527,44.70296864417898,36.116066000000004,35.54401933333333,8.963465333333334,25.079126666666667,24.697492333333333,12.920001,7.7,3384,,,,,,,,,,,,,,,,,,,,,
2023-10-01,12.325448028673835,54.61,3.8666666666666667,3.8666666666666667,5.8966666666666665,14.01,6.8966666666666665,16.636666666666667,5.706666666666667,,,71.621291,269.552058,374.266472337318,3.763561531236463,5225.4560984884265,1388.4370790728074,44.57541395213495,36.088868,35.532423,8.918753333333333,24.952908,24.690734666666668,13.058895,7.4,3410,,,,,,,,,,,,,,,,,,,,,
2024-01-01,11.35752688172043,52.75666666666667,3.7433333333333336,3.7433333333333336,5.6466666666666665,12.35,6.5200000000000005,16.656666666666666,6.55,,,72.33463333333333,272.35162966666667,384.11989933648067,3.76517610412429,5310.308272654189,1410.3757568426238,44.914719124730304,36.430811,35.90382233333333,8.905269333333333,25.081114,24.977572,13.370678,7.9,3460,,,,,,413434.264,130932.37500000001,62455.61,73453.79399999998,33797.628,112794.85500000001,232084.82119034175,,,,,,9039.43,8113.851000000001,203.46800000000002,722.11
2024-04-01,10.60483870967742,52.68333333333334,3.76,3.76,5.6466666666666665,12.003333333333334,6.496666666666667,17.849999999999998,6.5200000000000005,,,72.81875633333334,273.841052,395.58215026708365,3.7606687794338387,5432.680890878471,1444.5789788064985,45.110709619775974,36.65893666666667,36.159819666666664,8.882923333333334,25.203717666666666,25.202956333333333,13.529159,6.9,3520,,,,,,418286.04199999996,130938.011,63891.542,74013.055,34844.896,114598.535,243570.51346520628,,,,,,10177.406999999996,8564.763999999997,253.76999999999998,1358.8709999999999
2024-07-01,10.533333333333333,52.080000000000005,3.81,3.81,5.663333333333333,12.386666666666667,6.526666666666666,18.290000000000003,6.736666666666666,,,72.58953733333334,272.11062733333335,392.052556394591,3.7486234457056087,5400.945236455738,1440.7734964905105,44.866522217091315,36.56437866666667,36.02515866666667,8.836894333333333,25.069811,25.108430333333335,13.574401666666667,6.4,3506,,,,,,428727.827,133211.087,65857.108,74747.786,35883.102999999996,119028.73999999999,258935.7393343049,,,,,,8975.993,7927.367,91.252,957.373
